contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY260130C00618000,2025-12-16 15:18:25+00:00,618.0,64.59,70.81,73.9,0.0,0.0,4.0,9,0.34549604705810544,True,REGULAR,USD
SPY260130C00619000,2025-12-17 19:53:24+00:00,619.0,58.34,69.84,73.19,0.0,0.0,8.0,21,0.3479679461669921,True,REGULAR,USD
SPY260130C00620000,2025-12-26 20:43:55+00:00,620.0,73.63,68.91,71.95,0.0,0.0,1.0,394,0.33933155792236325,True,REGULAR,USD
SPY260130C00621000,2025-12-18 21:01:42+00:00,621.0,59.4,67.91,71.12,0.0,0.0,1.0,11,0.33924000610351557,True,REGULAR,USD
SPY260130C00622000,2025-12-18 14:44:07+00:00,622.0,58.34,66.95,70.3,0.0,0.0,2.0,45,0.3392705233764648,True,REGULAR,USD
SPY260130C00623000,2025-11-21 20:58:53+00:00,623.0,49.63,65.99,69.16,0.0,0.0,45.0,24,0.3327703442382813,True,REGULAR,USD
SPY260130C00624000,2025-12-18 15:16:32+00:00,624.0,56.82,65.02,68.16,0.0,0.0,25.0,25,0.32910827148437494,True,REGULAR,USD
SPY260130C00625000,2025-12-29 16:24:33+00:00,625.0,65.76,64.04,67.19,-2.9399948,-4.2794685,20.0,320,0.32605654418945307,True,REGULAR,USD
SPY260130C00626000,2025-11-19 14:30:00+00:00,626.0,49.78,63.09,66.23,0.0,0.0,1.0,5,0.32318792053222645,True,REGULAR,USD
SPY260130C00627000,2025-12-17 15:28:02+00:00,627.0,55.85,62.13,65.15,0.0,0.0,3.0,13,0.3179084323120117,True,REGULAR,USD
SPY260130C00628000,2025-12-19 20:31:52+00:00,628.0,57.96,61.2,64.3,0.0,0.0,4.0,42,0.3172065350341796,True,REGULAR,USD
SPY260130C00629000,2025-12-18 19:39:20+00:00,629.0,52.15,60.22,63.22,0.0,0.0,2.0,64,0.31192704681396477,True,REGULAR,USD
SPY260130C00630000,2025-12-24 16:53:52+00:00,630.0,64.07,59.25,62.26,0.0,0.0,14.0,842,0.30902790588378903,True,REGULAR,USD
SPY260130C00631000,2025-12-22 14:58:07+00:00,631.0,58.0,59.22,61.3,0.0,0.0,1.0,103,0.30609824768066407,True,REGULAR,USD
SPY260130C00632000,2025-12-19 14:33:36+00:00,632.0,51.81,57.34,60.33,0.0,0.0,1.0,34,0.3029244512939453,True,REGULAR,USD
SPY260130C00633000,2025-12-17 14:52:32+00:00,633.0,50.43,56.43,59.37,0.0,0.0,2.0,109,0.29999479309082033,True,REGULAR,USD
SPY260130C00634000,2025-12-18 14:44:07+00:00,634.0,47.38,55.48,58.45,0.0,0.0,4.0,14,0.297736514892578,True,REGULAR,USD
SPY260130C00635000,2025-12-23 15:07:38+00:00,635.0,54.53,54.53,57.45,0.0,0.0,3.0,233,0.29398289031982416,True,REGULAR,USD
SPY260130C00636000,2025-12-16 17:36:01+00:00,636.0,47.9,53.58,56.49,0.0,0.0,1.0,41,0.2909616802978515,True,REGULAR,USD
SPY260130C00637000,2025-12-22 16:18:38+00:00,637.0,52.55,52.64,55.54,0.0,0.0,2.0,26,0.2881235739135741,True,REGULAR,USD
SPY260130C00638000,2025-12-05 14:52:13+00:00,638.0,55.32,51.7,54.56,0.0,0.0,1.0,107,0.28470563934326165,True,REGULAR,USD
SPY260130C00639000,2025-12-26 20:06:47+00:00,639.0,55.07,50.76,53.56,0.0,0.0,1.0,15,0.28092149749755857,True,REGULAR,USD
SPY260130C00640000,2025-12-26 15:01:00+00:00,640.0,54.75,49.81,52.58,0.0,0.0,1.0,615,0.27747304565429687,True,REGULAR,USD
SPY260130C00641000,2025-12-23 16:42:51+00:00,641.0,49.4,48.88,51.63,0.0,0.0,1.0,37,0.2745433874511719,True,REGULAR,USD
SPY260130C00642000,2025-12-24 15:30:57+00:00,642.0,51.85,47.99,50.79,0.0,0.0,1.0,55,0.27353631744384765,True,REGULAR,USD
SPY260130C00643000,2025-12-19 14:59:37+00:00,643.0,43.4,47.03,49.74,0.0,0.0,1.0,185,0.2688061401367187,True,REGULAR,USD
SPY260130C00644000,2025-12-23 15:57:54+00:00,644.0,47.46,46.05,48.74,0.0,0.0,2.0,18,0.2649304464721679,True,REGULAR,USD
SPY260130C00645000,2025-12-29 15:42:03+00:00,645.0,47.14,45.15,47.81,-2.4099998,-4.863774,2.0,1007,0.262275443725586,True,REGULAR,USD
SPY260130C00646000,2025-12-18 15:01:30+00:00,646.0,45.97,44.24,46.95,7.41,19.216805,1.0,226,0.260749580078125,True,REGULAR,USD
SPY260130C00647000,2025-12-19 15:22:16+00:00,647.0,39.5,44.08,45.99,0.0,0.0,1.0,556,0.25751474914550787,True,REGULAR,USD
