contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY260130P00659000,2025-12-29 15:54:01+00:00,659.0,2.89,2.87,2.89,0.19000006,7.037039,23.0,331,0.14731687652587894,False,REGULAR,USD
SPY260130P00660000,2025-12-29 16:54:05+00:00,660.0,2.99,2.99,3.0,0.18000007,6.405697,443.0,3848,0.1458825646972656,False,REGULAR,USD
SPY260130P00661000,2025-12-29 16:19:42+00:00,661.0,3.16,3.09,3.11,0.25,8.591065,7.0,706,0.14429566650390624,False,REGULAR,USD
SPY260130P00662000,2025-12-29 16:07:13+00:00,662.0,3.29,3.21,3.22,0.30999994,10.402682,19.0,661,0.14267825103759768,False,REGULAR,USD
SPY260130P00663000,2025-12-29 16:14:11+00:00,663.0,3.33,3.33,3.34,-0.01999998,-0.59701437,15.0,1368,0.14112187011718752,False,REGULAR,USD
SPY260130P00664000,2025-12-29 16:51:48+00:00,664.0,3.49,3.45,3.47,0.26999998,8.385093,56.0,1855,0.1396265237426758,False,REGULAR,USD
SPY260130P00665000,2025-12-29 16:50:32+00:00,665.0,3.65,3.58,3.6,0.2900002,8.630959,474.0,15371,0.13803962554931642,False,REGULAR,USD
SPY260130P00666000,2025-12-29 16:20:35+00:00,666.0,3.8,3.72,3.74,0.3599999,10.465113,34.0,1468,0.1365137619018555,False,REGULAR,USD
SPY260130P00667000,2025-12-29 16:28:44+00:00,667.0,3.95,3.86,3.88,0.3800001,10.644261,68.0,1149,0.1348658291625977,False,REGULAR,USD
SPY260130P00668000,2025-12-29 15:55:28+00:00,668.0,4.08,4.02,4.04,0.3599999,9.677416,100.0,530,0.13346203460693357,False,REGULAR,USD
SPY260130P00669000,2025-12-29 16:07:09+00:00,669.0,4.27,4.18,4.2,0.42000008,10.909093,23.0,712,0.13190565368652346,False,REGULAR,USD
SPY260130P00670000,2025-12-29 16:56:05+00:00,670.0,4.36,4.35,4.36,0.34000015,8.457715,850.0,14812,0.1302577209472656,False,REGULAR,USD
SPY260130P00671000,2025-12-29 16:51:04+00:00,671.0,4.55,4.52,4.54,0.34000015,8.076013,112.0,726,0.1287623745727539,False,REGULAR,USD
SPY260130P00672000,2025-12-29 16:56:46+00:00,672.0,4.71,4.69,4.71,0.32000017,7.2892976,22.0,1898,0.12702289001464845,False,REGULAR,USD
SPY260130P00673000,2025-12-29 16:55:03+00:00,673.0,4.91,4.89,4.91,0.38999987,8.628315,59.0,650,0.1255885781860352,False,REGULAR,USD
SPY260130P00674000,2025-12-29 16:41:07+00:00,674.0,5.28,5.08,5.1,0.61000013,13.062101,18.0,890,0.12384909362792969,False,REGULAR,USD
SPY260130P00675000,2025-12-29 16:50:32+00:00,675.0,5.4,5.29,5.31,0.5300002,10.882962,259.0,9516,0.12229271270751954,False,REGULAR,USD
SPY260130P00676000,2025-12-29 16:14:16+00:00,676.0,5.5,5.51,5.54,0.48000002,9.561753,11.0,876,0.12082788360595703,False,REGULAR,USD
SPY260130P00677000,2025-12-29 16:52:04+00:00,677.0,5.79,5.74,5.77,0.53999996,10.285713,39.0,1246,0.11924098541259764,False,REGULAR,USD
SPY260130P00678000,2025-12-29 16:56:02+00:00,678.0,5.99,5.98,6.0,0.5899997,10.9259205,82.0,934,0.11747098358154298,False,REGULAR,USD
SPY260130P00679000,2025-12-29 16:47:13+00:00,679.0,6.37,6.23,6.26,0.6700001,11.754388,24.0,786,0.11596037857055663,False,REGULAR,USD
SPY260130P00680000,2025-12-29 16:46:41+00:00,680.0,6.6,6.48,6.51,0.6999998,11.864404,839.0,23842,0.11414460083007813,False,REGULAR,USD
SPY260130P00681000,2025-12-29 16:45:17+00:00,681.0,6.94,6.77,6.79,0.88999987,14.710741,55.0,810,0.11255770263671874,False,REGULAR,USD
SPY260130P00682000,2025-12-29 16:15:11+00:00,682.0,7.12,7.04,7.07,0.7399998,11.5987425,35.0,762,0.11077244216918944,False,REGULAR,USD
SPY260130P00683000,2025-12-29 16:50:11+00:00,683.0,7.49,7.35,7.37,0.9399996,14.351137,59.0,2015,0.1090634748840332,False,REGULAR,USD
SPY260130P00684000,2025-12-29 16:53:50+00:00,684.0,7.7,7.67,7.7,0.77,11.111112,615.0,791,0.10752235260009765,False,REGULAR,USD
SPY260130P00685000,2025-12-29 16:51:49+00:00,685.0,8.06,8.0,8.03,0.8100004,11.1724205,292.0,3786,0.10578286804199218,False,REGULAR,USD
SPY260130P00686000,2025-12-29 16:40:32+00:00,686.0,8.65,8.34,8.37,1.1299996,15.02659,289.0,1143,0.10395183166503905,False,REGULAR,USD
SPY260130P00687000,2025-12-29 16:55:56+00:00,687.0,8.74,8.71,8.74,0.85999966,10.913702,189.0,811,0.10227338165283201,True,REGULAR,USD
SPY260130P00688000,2025-12-29 16:29:34+00:00,688.0,9.12,9.1,9.13,1.0500002,13.011155,372.0,944,0.100594931640625,True,REGULAR,USD
SPY260130P00689000,2025-12-29 16:29:51+00:00,689.0,9.57,9.5,9.52,1.1899996,14.200472,143.0,710,0.09870286071777344,True,REGULAR,USD
SPY260130P00690000,2025-12-29 16:56:46+00:00,690.0,9.92,9.9,9.93,1.0699997,12.076745,798.0,10423,0.09676501388549805,True,REGULAR,USD
SPY260130P00691000,2025-12-29 16:40:10+00:00,691.0,10.62,10.33,10.36,1.3299999,14.316469,51.0,430,0.09479664978027345,True,REGULAR,USD
SPY260130P00692000,2025-12-29 16:47:17+00:00,692.0,11.01,10.78,10.81,1.4099998,14.687498,27.0,385,0.09281302703857422,True,REGULAR,USD
